id,breed
Abyssinian1,Abyssinian
Abyssinian2,Abyssinian
Abyssinian3,Abyssinian
Abyssinian4,Abyssinian
Abyssinian5,Abyssinian
Abyssinian6,Abyssinian
Abyssinian7,Abyssinian
Abyssinian8,Abyssinian
Abyssinian9,Abyssinian
Abyssinian10,Abyssinian
Abyssinian11,Abyssinian
Abyssinian12,Abyssinian
Abyssinian13,Abyssinian
Abyssinian14,Abyssinian
Abyssinian15,Abyssinian
Abyssinian16,Abyssinian
Abyssinian17,Abyssinian
Abyssinian18,Abyssinian
Abyssinian19,Abyssinian
Abyssinian20,Abyssinian
Abyssinian21,Abyssinian
Abyssinian22,Abyssinian
Abyssinian23,Abyssinian
Abyssinian24,Abyssinian
Abyssinian25,Abyssinian
Abyssinian26,Abyssinian
Abyssinian27,Abyssinian
Abyssinian28,Abyssinian
Abyssinian29,Abyssinian
Abyssinian30,Abyssinian
Abyssinian31,Abyssinian
Abyssinian32,Abyssinian
Abyssinian33,Abyssinian
Abyssinian34,Abyssinian
Abyssinian35,Abyssinian
Abyssinian36,Abyssinian
Abyssinian37,Abyssinian
Abyssinian38,Abyssinian
Abyssinian39,Abyssinian
Abyssinian40,Abyssinian
Abyssinian41,Abyssinian
Abyssinian42,Abyssinian
Abyssinian43,Abyssinian
Abyssinian44,Abyssinian
Abyssinian45,Abyssinian
,
Abyssinian47,Abyssinian
Abyssinian48,Abyssinian
Abyssinian49,Abyssinian
Abyssinian50,Abyssinian
Abyssinian51,Abyssinian
Abyssinian52,Abyssinian
Abyssinian53,Abyssinian
Abyssinian54,Abyssinian
Abyssinian55,Abyssinian
Abyssinian56,Abyssinian
Abyssinian57,Abyssinian
Abyssinian58,Abyssinian
Abyssinian59,Abyssinian
Abyssinian60,Abyssinian
Abyssinian61,Abyssinian
Abyssinian62,Abyssinian
Abyssinian63,Abyssinian
Abyssinian64,Abyssinian
Abyssinian65,Abyssinian
Abyssinian66,Abyssinian
Abyssinian67,Abyssinian
Abyssinian68,Abyssinian
